city,year,risk_level
City of Caloocan,2025,Moderate
City of Caloocan,2026,Moderate
City of Caloocan,2027,Moderate
City of Caloocan,2028,Moderate
City of Caloocan,2029,Moderate
City of Caloocan,2030,Moderate
City of Las Piñas,2025,High
City of Las Piñas,2026,Moderate
City of Las Piñas,2027,Moderate
City of Las Piñas,2028,Moderate
City of Las Piñas,2029,Moderate
City of Las Piñas,2030,Moderate
City of Makati,2025,Moderate
City of Makati,2026,Moderate
City of Makati,2027,Moderate
City of Makati,2028,Moderate
City of Makati,2029,Moderate
City of Makati,2030,Moderate
City of Malabon,2025,High
City of Malabon,2026,Moderate
City of Malabon,2027,Moderate
City of Malabon,2028,Moderate
City of Malabon,2029,Moderate
City of Malabon,2030,Moderate
City of Mandaluyong,2025,Moderate
City of Mandaluyong,2026,Moderate
City of Mandaluyong,2027,Moderate
City of Mandaluyong,2028,Moderate
City of Mandaluyong,2029,Moderate
City of Mandaluyong,2030,Moderate
City of Manila,2025,High
City of Manila,2026,High
City of Manila,2027,High
City of Manila,2028,High
City of Manila,2029,High
City of Manila,2030,High
City of Marikina,2025,Low
City of Marikina,2026,Very High
City of Marikina,2027,Very High
City of Marikina,2028,Very High
City of Marikina,2029,Very High
City of Marikina,2030,Very High
City of Muntinlupa,2025,Low
City of Muntinlupa,2026,Moderate
City of Muntinlupa,2027,Moderate
City of Muntinlupa,2028,Moderate
City of Muntinlupa,2029,Moderate
City of Muntinlupa,2030,High
City of Navotas,2025,High
City of Navotas,2026,Moderate
City of Navotas,2027,Moderate
City of Navotas,2028,Moderate
City of Navotas,2029,High
City of Navotas,2030,High
City of Parañaque,2025,High
City of Parañaque,2026,Moderate
City of Parañaque,2027,Moderate
City of Parañaque,2028,Moderate
City of Parañaque,2029,Moderate
City of Parañaque,2030,Moderate
City of Pasay,2025,High
City of Pasay,2026,Moderate
City of Pasay,2027,Moderate
City of Pasay,2028,Moderate
City of Pasay,2029,Moderate
City of Pasay,2030,High
City of Pasig,2025,Low
City of Pasig,2026,Moderate
City of Pasig,2027,Moderate
City of Pasig,2028,Moderate
City of Pasig,2029,Moderate
City of Pasig,2030,Moderate
Pateros,2025,Low
Pateros,2026,Moderate
Pateros,2027,Moderate
Pateros,2028,Moderate
Pateros,2029,Moderate
Pateros,2030,High
City of Quezon,2025,Low
City of Quezon,2026,Moderate
City of Quezon,2027,Moderate
City of Quezon,2028,Moderate
City of Quezon,2029,Moderate
City of Quezon,2030,High
City of San Juan,2025,Moderate
City of San Juan,2026,Moderate
City of San Juan,2027,Moderate
City of San Juan,2028,Moderate
City of San Juan,2029,Moderate
City of San Juan,2030,High
City of Taguig,2025,Low
City of Taguig,2026,Very High
City of Taguig,2027,Very High
City of Taguig,2028,Very High
City of Taguig,2029,Very High
City of Taguig,2030,High
City of Valenzuela,2025,Moderate
City of Valenzuela,2026,High
City of Valenzuela,2027,High
City of Valenzuela,2028,High
City of Valenzuela,2029,High
City of Valenzuela,2030,Very High
